Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2018-04-08,6:53 AM,49,33,54,WNW,28,40,24.29,0.0,Mostly Cloudy / Windy
2018-04-08,7:53 AM,48,34,58,NW,8,0,24.30,0.0,Mostly Cloudy
2018-04-08,8:53 AM,53,30,41,W,22,28,24.33,0.0,Partly Cloudy / Windy
2018-04-09,1:53 AM,38,34,86,E,13,0,24.58,0.0,Light Rain
2018-04-09,2:53 AM,36,34,93,SSE,12,0,24.57,0.0,Mostly Cloudy
2018-04-09,3:53 AM,36,33,89,S,3,0,24.60,0.0,Cloudy
2018-04-09,4:53 AM,38,34,86,S,5,0,24.61,0.0,Light Rain
2018-04-09,5:53 AM,39,33,79,CALM,0,0,24.63,0.0,Mostly Cloudy
2018-04-10,1:53 AM,40,29,65,S,15,0,24.74,0.0,Fair
2018-04-10,2:53 AM,41,28,60,SSW,15,0,24.73,0.0,Fair
2018-04-10,3:53 AM,39,27,62,SSW,15,0,24.71,0.0,Fair
2018-04-10,4:53 AM,39,25,57,SSW,12,0,24.71,0.0,Fair
2018-04-10,5:53 AM,39,24,55,SSW,15,0,24.71,0.0,Partly Cloudy
2018-04-10,6:53 AM,37,23,57,S,13,0,24.71,0.0,Fair
2018-04-10,7:53 AM,46,23,40,SSW,13,0,24.72,0.0,Fair
2018-04-10,8:53 AM,53,24,32,SSW,10,0,24.73,0.0,Partly Cloudy
2018-04-10,9:53 AM,59,20,22,W,9,0,24.73,0.0,Partly Cloudy
2018-04-10,10:53 AM,62,21,21,NW,9,0,24.72,0.0,Mostly Cloudy
2018-04-12,1:53 AM,58,20,23,SW,14,25,24.34,0.0,Mostly Cloudy
2018-04-12,2:53 AM,50,24,36,W,13,29,24.29,0.0,Mostly Cloudy
2018-04-12,3:53 AM,46,27,47,W,8,0,24.29,0.0,Mostly Cloudy
2018-04-12,4:53 AM,44,28,53,SW,9,0,24.27,0.0,Mostly Cloudy
2018-04-12,5:53 AM,43,28,56,W,10,0,24.25,0.0,Mostly Cloudy
2018-04-12,6:53 AM,43,29,58,WSW,8,0,24.25,0.0,Mostly Cloudy
2018-04-12,7:53 AM,46,30,54,SW,7,0,24.23,0.0,Mostly Cloudy
2018-04-12,8:53 AM,48,31,52,W,12,0,24.21,0.0,Mostly Cloudy
2018-04-12,9:53 AM,50,31,48,W,8,0,24.20,0.0,Mostly Cloudy
2018-04-12,10:53 AM,56,32,40,NW,5,0,24.17,0.0,Mostly Cloudy
2018-04-12,11:53 AM,63,34,34,NNW,8,0,24.16,0.0,Mostly Cloudy
2018-04-11,1:53 AM,56,21,26,SSW,15,0,24.52,0.0,Mostly Cloudy
2018-04-11,2:53 AM,55,21,27,SSW,13,0,24.49,0.0,Mostly Cloudy
2018-04-11,3:53 AM,55,21,27,SSW,9,0,24.47,0.0,Mostly Cloudy
2018-04-11,4:53 AM,58,19,22,SSW,13,23,24.47,0.0,Mostly Cloudy
2018-04-11,5:53 AM,51,20,29,SSW,7,0,24.46,0.0,Mostly Cloudy
2018-04-11,6:53 AM,52,19,27,SSW,12,0,24.46,0.0,Mostly Cloudy
2018-04-11,7:53 AM,58,19,22,SSW,15,0,24.47,0.0,Mostly Cloudy
2018-04-11,8:53 AM,62,21,21,SW,13,24,24.46,0.0,Mostly Cloudy
2018-04-11,9:53 AM,71,23,16,W,15,26,24.45,0.0,Mostly Cloudy
2018-04-13,12:53 AM,37,28,70,N,10,0,24.21,0.1,Light Snow
2018-04-15,1:53 AM,34,22,61,SSE,7,0,24.67,0.0,Partly Cloudy
2018-04-15,2:53 AM,33,22,64,S,7,0,24.67,0.0,Partly Cloudy
2018-04-15,3:53 AM,31,21,67,SW,3,0,24.67,0.0,Fair
2018-04-15,4:53 AM,31,21,67,S,5,0,24.66,0.0,Fair
2018-04-15,5:53 AM,27,20,75,SSW,8,0,24.67,0.0,Fair
2018-04-15,6:53 AM,29,22,75,WSW,8,0,24.69,0.0,Partly Cloudy
2018-04-15,7:53 AM,38,28,68,SSW,5,0,24.70,0.0,Fair
2018-04-15,8:53 AM,45,29,53,S,5,0,24.70,0.0,Fair
2018-04-15,9:53 AM,49,27,43,NE,6,0,24.68,0.0,Partly Cloudy
2018-04-15,10:53 AM,53,26,35,,0,0,24.68,0.0,Partly Cloudy
2018-04-15,11:53 AM,53,26,35,ESE,8,0,24.67,0.0,Partly Cloudy
2018-04-14,1:53 AM,29,21,72,N,23,0,24.64,0.0,Cloudy / Windy
2018-04-14,2:53 AM,29,21,72,N,24,33,24.62,0.0,Cloudy / Windy
2018-04-14,3:53 AM,29,21,72,N,16,0,24.63,0.0,Cloudy
2018-04-14,4:53 AM,30,20,66,N,20,0,24.64,0.0,Cloudy
2018-04-14,5:53 AM,31,20,64,N,22,31,24.65,0.0,Cloudy / Windy
2018-04-14,6:53 AM,33,17,52,N,28,37,24.66,0.0,Partly Cloudy / Windy
2018-04-14,7:53 AM,36,17,46,N,22,36,24.68,0.0,Mostly Cloudy / Windy
2018-04-14,8:53 AM,41,17,38,NNW,28,37,24.67,0.0,Partly Cloudy / Windy
2018-04-14,9:53 AM,44,16,32,N,30,41,24.67,0.0,Partly Cloudy / Windy
2018-04-14,10:53 AM,47,14,27,NNW,28,46,24.66,0.0,Partly Cloudy / Windy
2018-04-14,11:53 AM,49,13,24,N,32,43,24.66,0.0,Partly Cloudy / Windy
2018-04-02,1:53 PM,73,19,13,E,6,0,24.09,0.0,Mostly Cloudy
2018-04-02,2:53 PM,72,17,12,W,20,0,24.07,0.0,Mostly Cloudy
2018-04-02,3:53 PM,72,18,13,SW,10,0,24.06,0.0,Mostly Cloudy
2018-04-02,4:53 PM,70,20,15,NW,12,0,24.06,0.0,Cloudy
